id,class,name,rarity,collection,price_usd,owner,transaction_type,date,profit_usd
Skin_P90_0,http://example.org/cs2#Skin,P90 #0,Industrial,http://example.org/cs2#Collection_Anubis,864.24,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Gift,2023-05-19,149.51
Skin_Glock-18_1,http://example.org/cs2#Skin,Glock-18 #1,Classified,http://example.org/cs2#Collection_Mirage,326.06,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Rent,2024-03-26,53.48
Skin_MAC-10_2,http://example.org/cs2#Skin,MAC-10 #2,MilSpec,http://example.org/cs2#Collection_Vertigo,398.47,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Sale,2024-07-30,-1.31
Skin_Desert Eagle_3,http://example.org/cs2#Skin,Desert Eagle #3,MilSpec,http://example.org/cs2#Collection_Nuke,222.51,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2024-06-28,2.12
Skin_P90_4,http://example.org/cs2#Skin,P90 #4,Classified,http://example.org/cs2#Collection_Overpass,343.68,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Purchase,2024-11-02,-47.59
Skin_FAMAS_5,http://example.org/cs2#Skin,FAMAS #5,Industrial,http://example.org/cs2#Collection_Overpass,609.39,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Purchase,2023-10-12,55.08
Skin_Glock-18_6,http://example.org/cs2#Skin,Glock-18 #6,Industrial,http://example.org/cs2#Collection_Overpass,378.4,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Gift,2024-06-04,147.2
Skin_USP-S_7,http://example.org/cs2#Skin,USP-S #7,MilSpec,http://example.org/cs2#Collection_Vertigo,985.32,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Gift,2024-11-25,-4.45
Skin_AK-47_8,http://example.org/cs2#Skin,AK-47 #8,Restricted,http://example.org/cs2#Collection_Nuke,109.45,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Rent,2024-07-21,-15.19
Skin_MAC-10_9,http://example.org/cs2#Skin,MAC-10 #9,Covert,http://example.org/cs2#Collection_Mirage,196.78,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2023-09-13,93.8
