,count,mean,std,min,25%,50%,75%,max
Alcohol,178,13.00061797752809,0.8095429145285168,11.03,12.362499999999999,13.05,13.6775,14.83
Malic Acid,178,2.3363483146067416,1.1140036269797893,0.74,1.6025,1.8650000000000002,3.0825,5.8
Ash,178,2.3665168539325845,0.27357229442643255,1.36,2.21,2.36,2.5575,3.23
Alcalinity of ash,178,19.49494382022472,3.3301697576582128,10.6,17.2,19.5,21.5,30.0
Magnesium,178,99.74157303370787,14.242307673359806,70.0,88.0,98.0,107.0,162.0
Total phenols,178,2.295112359550562,0.6240905641965369,0.98,1.7425,2.355,2.8,3.88
Flavanoids,178,2.0292696629213487,0.996048950379233,0.34,1.205,2.135,2.875,5.08
Nonflavanoid phenols,178,0.3618539325842696,0.12410325988364795,0.13,0.27,0.34,0.4375,0.66
Proanthocyanins,178,1.5908988764044945,0.5707488486199379,0.41,1.25,1.5550000000000002,1.95,3.58
Color intensity,178,5.058089882022472,2.3117646609525573,1.28,3.2199999999999998,4.6899999999999995,6.2,13.0
Hue,178,0.9574494382022471,0.22792860656507252,0.48,0.7825,0.965,1.12,1.71
OD280/OD315 of diluted wines,178,2.6116853932584267,0.7079932646716005,1.27,1.9375,2.78,3.17,4.0
Proline,178,746.8932584269663,314.0216568419878,278.0,500.5,673.5,985.0,1680.0
