model,k,accuracy,precision_macro,recall_macro,f1_macro
Model1_random,3,0.75,0.7489417989417989,0.7698412698412698,0.7449967824967825
Model1_random,5,0.8076923076923077,0.8075163398692812,0.8253968253968255,0.8051115631760792
Model1_random,7,0.7884615384615384,0.784765221878225,0.8015873015873015,0.7856081888339953
Model1_random,9,0.8076923076923077,0.8224867724867725,0.8295985060690944,0.8072829131652662
Model1_random,11,0.8076923076923077,0.822604588394062,0.8333333333333334,0.8050108932461874
Model2_fixed,3,0.7884615384615384,0.7886904761904762,0.7899159663865546,0.7808570821274996
Model2_fixed,5,0.8269230769230769,0.8177248677248677,0.8216619981325864,0.8192799070847853
Model2_fixed,7,0.8653846153846154,0.861111111111111,0.869281045751634,0.862026862026862
Model2_fixed,9,0.8269230769230769,0.8257080610021786,0.8338001867413632,0.8256864366921293
Model2_fixed,11,0.8269230769230769,0.8257080610021786,0.8338001867413632,0.8256864366921293
